,app_id,"Singleplayer, Adventure","Action, Casual"
0,10090,0.0,1.0
1,13500,0.0,0.0
2,22364,0.0,0.0
3,113020,0.0,0.0
4,226560,0.0,1.0
5,249050,0.0,0.0
6,250180,0.0,0.0
7,253980,0.0,1.0
8,261550,0.0,0.0
9,271850,0.0,0.0
10,282900,0.0,0.0
11,19810,0.0,0.0
12,15270,0.0,0.0
13,21130,0.0,0.0
14,22130,0.0,0.0
15,29180,0.0,0.0
16,32750,0.0,0.0
17,241620,0.0,0.0
18,244910,0.0,0.0
19,245950,0.0,1.0
20,250460,0.0,0.0
21,278890,0.0,0.0
22,305181,0.0,0.0
23,312200,0.0,0.0
24,321290,0.0,0.0
25,329640,0.0,0.0
26,342200,0.0,0.0
27,367670,0.0,0.0
28,371970,0.0,1.0
29,380810,0.0,0.0
30,387440,0.0,0.0
31,392330,0.0,0.0
32,437000,0.0,0.0
33,445420,0.0,0.0
34,458790,0.0,0.0
35,462280,0.0,0.0
36,1872790,0.0,0.0
37,222660,0.0,0.0
38,237850,0.0,0.0
39,268220,0.0,0.0
40,274270,0.0,0.0
41,281450,0.0,0.0
42,296870,1.0,0.0
43,304430,1.0,0.0
44,330180,0.0,0.0
45,351920,0.0,0.0
46,359870,0.0,0.0
47,377840,0.0,0.0
48,397210,0.0,0.0
49,402130,0.0,0.0
50,402710,0.0,1.0
51,410970,0.0,0.0
52,415200,0.0,0.0
53,410770,0.0,0.0
54,254820,0.0,0.0
55,284180,0.0,0.0
56,286380,0.0,0.0
57,288220,0.0,0.0
58,302690,1.0,0.0
59,320388,0.0,0.0
60,339350,0.0,0.0
61,342310,0.0,0.0
62,346500,0.0,0.0
63,393831,0.0,0.0
64,408520,0.0,0.0
65,413420,0.0,0.0
66,414870,0.0,0.0
67,419990,0.0,0.0
68,434041,0.0,0.0
69,446600,0.0,0.0
70,451640,0.0,0.0
71,479010,0.0,0.0
72,494150,0.0,0.0
73,1198740,0.0,0.0
74,35000,0.0,0.0
75,37400,0.0,0.0
76,39690,0.0,0.0
77,55230,0.0,1.0
78,65400,0.0,0.0
79,208805,0.0,0.0
80,222420,0.0,0.0
81,257850,1.0,0.0
82,274480,0.0,0.0
83,314000,0.0,0.0
84,326410,0.0,0.0
85,355920,0.0,0.0
86,406600,0.0,0.0
87,433550,0.0,0.0
88,434170,0.0,0.0
89,436550,0.0,0.0
90,438450,0.0,0.0
91,439500,0.0,0.0
92,910320,0.0,0.0
93,284750,1.0,0.0
94,298930,0.0,0.0
95,302350,0.0,0.0
96,308270,0.0,0.0
97,317030,0.0,0.0
98,325990,0.0,0.0
99,362890,0.0,1.0
